epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1318.86,1.67616,0.9393,1.03003,0.92661,0.90591,0.92062,0.47903,1.56086,0.80411,0.98881,0.0014588,0.0014588,0.0014588
43,1350.17,1.71854,0.91912,1.03141,0.92985,0.91031,0.93343,0.49699,1.49465,0.77826,0.9747,0.0014456,0.0014456,0.0014456
44,1381.58,1.70354,0.9215,1.0275,0.88294,0.87944,0.88879,0.47083,1.49709,0.81083,0.97433,0.0014324,0.0014324,0.0014324
45,1412.93,1.67575,0.91741,1.03955,0.90203,0.89686,0.91601,0.47875,1.56881,0.75655,1.00901,0.0014192,0.0014192,0.0014192
46,1444.29,1.68315,0.92497,1.02413,0.90551,0.91031,0.92008,0.47075,1.57085,0.76963,1.00842,0.001406,0.001406,0.001406
47,1475.65,1.66033,0.90328,1.02277,0.93639,0.90135,0.93197,0.49199,1.49752,0.7656,0.99144,0.0013928,0.0013928,0.0013928
48,1507,1.69221,0.92198,1.04179,0.93826,0.90135,0.92098,0.47517,1.49884,0.75683,0.97423,0.0013796,0.0013796,0.0013796
49,1538.29,1.69836,0.93354,1.02612,0.89539,0.92116,0.93365,0.50831,1.46636,0.74369,0.99947,0.0013664,0.0013664,0.0013664
50,1569.68,1.64835,0.90546,1.02682,0.88637,0.90948,0.91434,0.47489,1.49863,0.776,0.98558,0.0013532,0.0013532,0.0013532
51,1600.98,1.64645,0.90409,1.02614,0.88873,0.89238,0.91844,0.48809,1.5435,0.78419,1.00048,0.00134,0.00134,0.00134
52,1632.37,1.67742,0.92548,1.0148,0.90471,0.89686,0.90853,0.49192,1.47614,0.73604,0.97763,0.0013268,0.0013268,0.0013268
53,1663.75,1.66698,0.91277,1.02162,0.88335,0.89686,0.93167,0.50448,1.484,0.76227,0.9803,0.0013136,0.0013136,0.0013136
54,1695.1,1.66674,0.92108,1.02845,0.91896,0.92825,0.93242,0.50624,1.46669,0.71112,0.9774,0.0013004,0.0013004,0.0013004
55,1726.45,1.65208,0.90566,1.02015,0.90318,0.89686,0.92093,0.48541,1.49115,0.76325,0.98458,0.0012872,0.0012872,0.0012872
56,1757.83,1.64749,0.8962,1.02187,0.90503,0.89741,0.91965,0.491,1.47441,0.73907,0.97585,0.001274,0.001274,0.001274
