epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1690.2,1.51367,0.89525,1.03427,0.84735,0.76471,0.87716,0.48018,1.33988,0.74943,0.96338,0.000840286,0.000840286,0.000840286
43,1731.57,1.45501,0.85202,1.03961,0.93394,0.83158,0.9088,0.50362,1.27211,0.70573,0.92962,0.000812,0.000812,0.000812
44,1772.61,1.47223,0.87323,1.03592,0.89527,0.84559,0.91257,0.47751,1.32825,0.73882,0.95591,0.000783714,0.000783714,0.000783714
45,1814.26,1.44503,0.83841,1.02613,0.88415,0.78564,0.86394,0.49961,1.29017,0.73601,0.92786,0.000755429,0.000755429,0.000755429
46,1855.74,1.46928,0.85041,1.02226,0.9245,0.80882,0.89853,0.47722,1.33317,0.71306,0.95193,0.000727143,0.000727143,0.000727143
47,1896.72,1.48817,0.86964,1.0392,0.90061,0.86765,0.88869,0.50855,1.28389,0.69724,0.92096,0.000698857,0.000698857,0.000698857
48,1938.14,1.42513,0.81331,1.02498,0.95175,0.87021,0.92305,0.52214,1.26874,0.66068,0.93333,0.000670571,0.000670571,0.000670571
49,1979.72,1.45896,0.8494,1.00743,0.89417,0.86977,0.90139,0.49744,1.34663,0.73401,0.94341,0.000642286,0.000642286,0.000642286
50,2020.79,1.442,0.81066,1.00532,0.9312,0.86029,0.92773,0.53082,1.23696,0.66103,0.91992,0.000614,0.000614,0.000614
51,2062.31,1.44347,0.81379,1.02768,0.96357,0.88971,0.93633,0.51014,1.28084,0.68879,0.93478,0.000585714,0.000585714,0.000585714
52,2103.99,1.43676,0.82475,1.00559,0.93061,0.88971,0.93025,0.5452,1.23416,0.66869,0.93068,0.000557429,0.000557429,0.000557429
53,2145.3,1.43977,0.83166,1.01529,0.9433,0.86765,0.93073,0.52481,1.21741,0.68007,0.91005,0.000529143,0.000529143,0.000529143
54,2186.38,1.43092,0.81608,1.02907,0.95318,0.89813,0.93849,0.51522,1.28813,0.66986,0.93346,0.000500857,0.000500857,0.000500857
55,2227.79,1.41027,0.80336,1.01228,0.92002,0.84587,0.90933,0.50515,1.23128,0.71509,0.92655,0.000472571,0.000472571,0.000472571
56,2269.25,1.42095,0.80182,0.99923,0.92117,0.85923,0.91784,0.50607,1.24287,0.68496,0.92094,0.000444286,0.000444286,0.000444286
57,2310.4,1.39362,0.79926,0.99207,0.95234,0.88151,0.93262,0.53521,1.22135,0.65686,0.91631,0.000416,0.000416,0.000416
58,2352,1.38512,0.79954,1.01362,0.95313,0.875,0.93636,0.53861,1.18883,0.64202,0.91158,0.000387714,0.000387714,0.000387714
59,2393.63,1.36669,0.78238,0.99164,0.91589,0.86765,0.92387,0.52192,1.22518,0.65176,0.91378,0.000359429,0.000359429,0.000359429
60,2434.59,1.37011,0.77783,1.00255,0.94387,0.86765,0.9255,0.52161,1.2629,0.65924,0.9253,0.000331143,0.000331143,0.000331143
61,2474.53,1.40029,0.77374,1.03532,0.95225,0.87984,0.93116,0.53186,1.24897,0.63313,0.92345,0.000302857,0.000302857,0.000302857
62,2514.25,1.37689,0.78079,1.03741,0.89613,0.84559,0.91221,0.50583,1.29647,0.66596,0.92536,0.000274571,0.000274571,0.000274571
63,2553.68,1.35074,0.76103,1.01851,0.92728,0.88971,0.92905,0.54048,1.21008,0.66013,0.91574,0.000246286,0.000246286,0.000246286
64,2593.38,1.34396,0.76226,1.00776,0.94499,0.85294,0.93825,0.53481,1.21221,0.64897,0.92056,0.000218,0.000218,0.000218
65,2633.18,1.32346,0.74529,1.0201,0.91263,0.83824,0.90962,0.52132,1.21122,0.63072,0.91313,0.000189714,0.000189714,0.000189714
66,2672.5,1.34071,0.74088,1.00972,0.94469,0.87913,0.93967,0.54615,1.22488,0.61513,0.92242,0.000161429,0.000161429,0.000161429
67,2712.17,1.30804,0.73093,0.99915,0.93961,0.88235,0.9387,0.54593,1.21981,0.63113,0.92252,0.000133143,0.000133143,0.000133143
68,2751.91,1.31317,0.74513,0.98818,0.95233,0.88145,0.94848,0.54908,1.21688,0.6159,0.91861,0.000104857,0.000104857,0.000104857
69,2791.31,1.29541,0.74915,0.99165,0.94425,0.87174,0.94123,0.54432,1.20496,0.62849,0.92004,7.65714e-05,7.65714e-05,7.65714e-05
70,2830.94,1.29414,0.72384,0.98596,0.9372,0.87781,0.93903,0.54146,1.232,0.64281,0.9249,4.82857e-05,4.82857e-05,4.82857e-05
