epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2785,2.12724,1.57293,1.21852,0.73602,0.80147,0.74324,0.29249,2.05653,1.1854,0.9972,0.0667907,3.32425e-05,3.32425e-05
2,114.581,1.89097,1.15891,1.1206,0.87341,0.76102,0.81686,0.38816,1.75497,0.98899,0.95354,0.0334898,6.56343e-05,6.56343e-05
3,168.982,1.83499,1.15036,1.07786,0.7868,0.80147,0.85519,0.38489,1.70855,0.97551,0.93899,0.00018791,9.70832e-05,9.70832e-05
4,227.018,1.77333,1.07982,1.06049,0.87438,0.87005,0.88,0.45006,1.54408,0.86146,0.91038,9.57571e-05,9.57571e-05,9.57571e-05
5,286.586,1.74832,1.03447,1.07266,0.8607,0.77235,0.87095,0.48293,1.51342,0.85536,0.92004,9.43429e-05,9.43429e-05,9.43429e-05
6,346.728,1.64939,1.01871,1.01957,0.87525,0.81618,0.90934,0.48703,1.51832,0.81653,0.92105,9.29286e-05,9.29286e-05,9.29286e-05
7,410.31,1.67156,1.02337,1.04619,0.8201,0.76471,0.80194,0.42548,1.47063,0.82777,0.91756,9.15143e-05,9.15143e-05,9.15143e-05
8,469.1,1.66861,1.06677,1.03453,0.86431,0.88235,0.87189,0.45387,1.49919,0.84137,0.90697,9.01e-05,9.01e-05,9.01e-05
9,538.481,1.62792,1.02638,1.04912,0.90189,0.81113,0.89483,0.49477,1.45843,0.86046,0.90202,8.86857e-05,8.86857e-05,8.86857e-05
10,608.477,1.61216,1.00892,1.0208,0.91706,0.75735,0.90363,0.53004,1.38918,0.82127,0.88256,8.72714e-05,8.72714e-05,8.72714e-05
11,671.812,1.62377,0.9665,1.02265,0.83402,0.84979,0.88634,0.47681,1.52458,0.84312,0.93933,8.58571e-05,8.58571e-05,8.58571e-05
12,740.806,1.60391,0.94776,1.00537,0.90773,0.86805,0.9184,0.50734,1.42062,0.77817,0.88571,8.44429e-05,8.44429e-05,8.44429e-05
13,810.55,1.59806,0.93516,1.00997,0.92789,0.85152,0.94181,0.50286,1.41954,0.76086,0.8941,8.30286e-05,8.30286e-05,8.30286e-05
14,871.826,1.59303,0.9432,1.01524,0.91156,0.83824,0.89782,0.45511,1.51703,0.83829,0.89904,8.16143e-05,8.16143e-05,8.16143e-05
15,940.587,1.59956,0.94816,1.00747,0.85029,0.83523,0.90401,0.50736,1.42219,0.82505,0.90532,8.02e-05,8.02e-05,8.02e-05
16,1010.18,1.56749,0.96825,0.98956,0.91562,0.87767,0.90773,0.52262,1.4017,0.81655,0.88704,7.87857e-05,7.87857e-05,7.87857e-05
17,1079.69,1.54429,0.88462,1.01304,0.88358,0.875,0.91108,0.4961,1.38665,0.7828,0.9227,7.73714e-05,7.73714e-05,7.73714e-05
18,1141.01,1.56436,0.91386,1.0144,0.93205,0.90775,0.91963,0.50874,1.44239,0.75857,0.9142,7.59571e-05,7.59571e-05,7.59571e-05
19,1219.63,1.53418,0.86736,0.9957,0.88521,0.875,0.91979,0.52861,1.40571,0.69168,0.90644,7.45429e-05,7.45429e-05,7.45429e-05
20,1281.76,1.50625,0.82816,1.01548,0.91409,0.86765,0.91469,0.53364,1.38645,0.72275,0.90289,7.31286e-05,7.31286e-05,7.31286e-05
21,1339.67,1.56151,0.85183,1.0011,0.89741,0.90052,0.93082,0.53571,1.38156,0.73102,0.91504,7.17143e-05,7.17143e-05,7.17143e-05
22,1394.36,1.55878,0.90464,0.98877,0.88424,0.88235,0.91975,0.54069,1.34128,0.717,0.89748,7.03e-05,7.03e-05,7.03e-05
