epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7178,2.10009,1.74604,1.22021,0.86667,0.83088,0.86251,0.38038,1.63846,0.88664,0.99108,0.066881,3.31522e-05,3.31522e-05
2,113.962,1.81598,1.10555,1.12034,0.8094,0.78676,0.86602,0.4581,1.51201,0.86125,0.9634,0.0335797,6.51691e-05,6.51691e-05
3,163.9,1.79232,1.06331,1.11159,0.88518,0.88971,0.91348,0.46352,1.46594,0.76582,0.95487,0.000277025,9.5866e-05,9.5866e-05
4,213.637,1.72643,0.98214,1.0876,0.90452,0.83088,0.90365,0.49445,1.41839,0.74093,0.93363,9.406e-05,9.406e-05,9.406e-05
5,265.574,1.64988,0.95404,1.0786,0.96051,0.89422,0.92811,0.52218,1.34796,0.71395,0.91041,9.208e-05,9.208e-05,9.208e-05
6,317.943,1.64798,0.9493,1.04684,0.86435,0.875,0.91464,0.50291,1.36103,0.76091,0.91284,9.01e-05,9.01e-05,9.01e-05
7,370.567,1.59801,0.93683,1.06055,0.89079,0.83824,0.89373,0.47102,1.42898,0.78973,0.94335,8.812e-05,8.812e-05,8.812e-05
8,422.795,1.57737,0.9074,1.06152,0.84701,0.85491,0.90968,0.51542,1.35037,0.73857,0.93509,8.614e-05,8.614e-05,8.614e-05
9,474.857,1.60609,0.90097,1.0471,0.91053,0.82311,0.91662,0.511,1.3483,0.71265,0.91849,8.416e-05,8.416e-05,8.416e-05
10,529.147,1.53169,0.88119,1.02305,0.90539,0.84442,0.93335,0.53285,1.31519,0.67284,0.93024,8.218e-05,8.218e-05,8.218e-05
11,591.647,1.60216,0.90433,1.03823,0.85607,0.83097,0.9189,0.46992,1.45864,0.72965,0.95037,8.02e-05,8.02e-05,8.02e-05
12,645.772,1.56989,0.92642,1.02868,0.90091,0.88971,0.93043,0.48609,1.38499,0.77111,0.92925,7.822e-05,7.822e-05,7.822e-05
13,708.245,1.54859,0.84957,1.06698,0.91223,0.84061,0.92046,0.52865,1.31051,0.67336,0.90965,7.624e-05,7.624e-05,7.624e-05
14,760.312,1.48051,0.80897,1.04657,0.9069,0.85949,0.91851,0.50351,1.39958,0.70515,0.93279,7.426e-05,7.426e-05,7.426e-05
15,819.536,1.49684,0.84407,1.01033,0.8893,0.88604,0.93777,0.49883,1.34716,0.69328,0.93499,7.228e-05,7.228e-05,7.228e-05
16,882.087,1.52789,0.86641,1.01133,0.89833,0.86765,0.89714,0.49354,1.37121,0.69466,0.92076,7.03e-05,7.03e-05,7.03e-05
17,940.892,1.46527,0.85184,1.01137,0.92915,0.8679,0.93711,0.52617,1.36628,0.70715,0.92017,6.832e-05,6.832e-05,6.832e-05
18,993.251,1.43812,0.77167,1.00633,0.90185,0.82353,0.9133,0.54875,1.26655,0.65831,0.89052,6.634e-05,6.634e-05,6.634e-05
19,1052.04,1.52138,0.81653,1.01317,0.94826,0.84559,0.93637,0.55907,1.27716,0.64259,0.90822,6.436e-05,6.436e-05,6.436e-05
20,1111.91,1.47329,0.81103,1.00073,0.89016,0.83424,0.90223,0.50902,1.31007,0.70425,0.89296,6.238e-05,6.238e-05,6.238e-05
21,1166.42,1.42274,0.81181,1.00192,0.92201,0.86029,0.92927,0.52527,1.28423,0.68149,0.89682,6.04e-05,6.04e-05,6.04e-05
22,1220.73,1.4629,0.82284,1.00376,0.9192,0.85294,0.91909,0.55148,1.25085,0.63715,0.8952,5.842e-05,5.842e-05,5.842e-05
23,1273,1.42669,0.80858,1.00768,0.95617,0.86029,0.94231,0.53017,1.2434,0.67695,0.89183,5.644e-05,5.644e-05,5.644e-05
24,1330.32,1.41021,0.79066,0.98401,0.92324,0.88442,0.94094,0.56829,1.24277,0.637,0.88485,5.446e-05,5.446e-05,5.446e-05
25,1390.45,1.37722,0.7653,0.97697,0.95188,0.8727,0.95166,0.57832,1.20236,0.61767,0.8905,5.248e-05,5.248e-05,5.248e-05
26,1442.86,1.38375,0.75079,0.98832,0.93112,0.81618,0.92167,0.54662,1.30104,0.63283,0.91152,5.05e-05,5.05e-05,5.05e-05
27,1501.08,1.408,0.72658,0.97596,0.91127,0.90615,0.94898,0.5669,1.23958,0.61536,0.89966,4.852e-05,4.852e-05,4.852e-05
28,1553.87,1.37381,0.74504,0.98859,0.87687,0.875,0.91444,0.54504,1.28009,0.65992,0.90522,4.654e-05,4.654e-05,4.654e-05
29,1605.13,1.38627,0.76893,0.98811,0.88088,0.85294,0.92038,0.52879,1.33861,0.6344,0.90918,4.456e-05,4.456e-05,4.456e-05
30,1657.06,1.3759,0.71048,0.98214,0.8983,0.91912,0.94217,0.56745,1.23305,0.60009,0.89291,4.258e-05,4.258e-05,4.258e-05
31,1706.57,1.34031,0.72099,0.97344,0.87117,0.89503,0.93241,0.56997,1.24907,0.61397,0.89062,4.06e-05,4.06e-05,4.06e-05
32,1756.03,1.34484,0.73452,0.9787,0.89916,0.91788,0.93739,0.58329,1.2022,0.61558,0.88627,3.862e-05,3.862e-05,3.862e-05
33,1807.49,1.31666,0.69735,0.95604,0.92665,0.92895,0.94974,0.58356,1.24447,0.59347,0.90158,3.664e-05,3.664e-05,3.664e-05
34,1859.81,1.34752,0.70557,0.95242,0.95139,0.86346,0.94105,0.56519,1.26792,0.60417,0.91211,3.466e-05,3.466e-05,3.466e-05
35,1912.78,1.31531,0.70534,0.96732,0.91056,0.85294,0.91951,0.54681,1.28949,0.63751,0.90713,3.268e-05,3.268e-05,3.268e-05
36,1965.4,1.37532,0.72751,0.97641,0.88354,0.875,0.92974,0.5559,1.29129,0.62824,0.89808,3.07e-05,3.07e-05,3.07e-05
