epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8112,2.19907,3.26151,1.22162,0.85487,0.83088,0.88637,0.40061,1.69996,0.90744,0.93724,0.066881,3.31522e-05,3.31522e-05
2,56.9132,1.89947,1.19865,1.10602,0.80706,0.72059,0.84186,0.45266,1.52007,0.89385,0.91469,0.0335797,6.51691e-05,6.51691e-05
3,83.3974,1.79327,1.15232,1.05497,0.82403,0.78676,0.872,0.4532,1.48208,0.8526,0.90465,0.000277025,9.5866e-05,9.5866e-05
4,109.837,1.72251,1.07935,1.02982,0.90952,0.75735,0.87989,0.47146,1.41788,0.80797,0.89653,9.406e-05,9.406e-05,9.406e-05
5,136.185,1.65846,1.03315,1.02192,0.84661,0.77941,0.88207,0.46808,1.37837,0.8508,0.88703,9.208e-05,9.208e-05,9.208e-05
6,162.528,1.65468,1.01425,0.98964,0.85035,0.83567,0.87875,0.48382,1.34368,0.82724,0.87579,9.01e-05,9.01e-05,9.01e-05
7,188.931,1.59996,1.00934,1.01526,0.848,0.80882,0.85449,0.43318,1.4746,0.84975,0.93403,8.812e-05,8.812e-05,8.812e-05
8,216.636,1.58546,0.99551,1.00487,0.89541,0.75735,0.88661,0.48265,1.32892,0.85678,0.88476,8.614e-05,8.614e-05,8.614e-05
9,246.508,1.59977,0.96935,1.00443,0.92555,0.82276,0.91464,0.51026,1.36057,0.76501,0.88571,8.416e-05,8.416e-05,8.416e-05
10,276.506,1.59128,0.93009,1.00927,0.84277,0.86707,0.88463,0.51228,1.33603,0.74427,0.88548,8.218e-05,8.218e-05,8.218e-05
11,306.259,1.60585,0.95688,1.00151,0.88704,0.8084,0.8815,0.45076,1.36697,0.82754,0.88487,8.02e-05,8.02e-05,8.02e-05
12,335.949,1.56518,0.98374,0.97472,0.85717,0.83839,0.8806,0.50385,1.30228,0.78452,0.87682,7.822e-05,7.822e-05,7.822e-05
13,365.824,1.54494,0.89757,1.01079,0.87002,0.82353,0.88257,0.50687,1.3052,0.75298,0.87702,7.624e-05,7.624e-05,7.624e-05
14,395.462,1.52164,0.90049,0.99923,0.9463,0.84559,0.92349,0.5089,1.36489,0.76951,0.89758,7.426e-05,7.426e-05,7.426e-05
15,424.883,1.54354,0.91268,0.97992,0.91899,0.80147,0.90039,0.51666,1.30607,0.73399,0.89155,7.228e-05,7.228e-05,7.228e-05
16,453.992,1.56347,0.9273,0.98596,0.92106,0.85799,0.92253,0.51446,1.32662,0.73211,0.88024,7.03e-05,7.03e-05,7.03e-05
17,483.395,1.52082,0.91191,0.98404,0.92609,0.81618,0.90274,0.50659,1.35628,0.72418,0.89332,6.832e-05,6.832e-05,6.832e-05
