epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1348.6,1.70811,0.99937,1.0423,0.88471,0.9148,0.91666,0.49428,1.52439,0.78516,0.99065,0.0014588,0.0014588,0.0014588
43,1380.65,1.72353,0.96226,1.03741,0.89671,0.89545,0.90725,0.47023,1.5075,0.83043,0.98476,0.0014456,0.0014456,0.0014456
44,1412.76,1.72978,0.99057,1.03767,0.85723,0.83857,0.88127,0.44574,1.57109,0.88512,1.00056,0.0014324,0.0014324,0.0014324
45,1444.79,1.67129,0.95145,1.04328,0.91426,0.9085,0.93241,0.47398,1.55943,0.78119,1.01332,0.0014192,0.0014192,0.0014192
46,1476.82,1.69558,0.95304,1.03542,0.8947,0.91031,0.93195,0.4943,1.52282,0.7975,0.99391,0.001406,0.001406,0.001406
47,1508.93,1.68996,0.9337,1.03341,0.89194,0.86547,0.91294,0.44832,1.58247,0.80561,1.01125,0.0013928,0.0013928,0.0013928
48,1540.96,1.71709,0.93753,1.05379,0.92213,0.90271,0.93617,0.50411,1.49817,0.73706,0.98298,0.0013796,0.0013796,0.0013796
49,1573.07,1.70973,0.95731,1.03473,0.88749,0.88428,0.91191,0.47674,1.50987,0.7821,0.99904,0.0013664,0.0013664,0.0013664
50,1605.1,1.67511,0.9435,1.03283,0.91677,0.90135,0.93358,0.48816,1.49305,0.7683,0.98286,0.0013532,0.0013532,0.0013532
51,1637.12,1.6727,0.94711,1.0349,0.87801,0.8714,0.91721,0.48566,1.55563,0.80678,1.00996,0.00134,0.00134,0.00134
52,1669.18,1.69132,0.95969,1.01846,0.8904,0.91077,0.92508,0.47869,1.52257,0.77038,0.99889,0.0013268,0.0013268,0.0013268
53,1701.25,1.67877,0.93869,1.02174,0.9025,0.9148,0.92471,0.47096,1.52292,0.77517,0.99908,0.0013136,0.0013136,0.0013136
54,1733.3,1.66599,0.94794,1.02903,0.93141,0.88789,0.93711,0.48841,1.48925,0.80056,0.99136,0.0013004,0.0013004,0.0013004
55,1765.34,1.66451,0.94202,1.02598,0.8658,0.85202,0.88937,0.46811,1.53348,0.83206,0.99156,0.0012872,0.0012872,0.0012872
56,1797.41,1.68019,0.94866,1.02857,0.90648,0.91281,0.93481,0.49175,1.50635,0.75698,0.98432,0.001274,0.001274,0.001274
57,1829.45,1.68006,0.91685,1.02616,0.88949,0.90234,0.91419,0.48345,1.49682,0.76338,0.97668,0.0012608,0.0012608,0.0012608
58,1861.53,1.64354,0.87977,1.01298,0.91887,0.90583,0.93733,0.50287,1.46327,0.7368,0.97363,0.0012476,0.0012476,0.0012476
59,1893.62,1.66503,0.90748,1.03415,0.91536,0.92148,0.9444,0.49051,1.48741,0.74695,0.98864,0.0012344,0.0012344,0.0012344
60,1925.7,1.66082,0.90101,1.02531,0.88618,0.90135,0.93116,0.49609,1.50594,0.76214,0.98497,0.0012212,0.0012212,0.0012212
61,1957.75,1.64182,0.91171,1.0224,0.91583,0.92377,0.93476,0.49167,1.47759,0.7355,0.97926,0.001208,0.001208,0.001208
62,1989.84,1.66879,0.90135,1.01943,0.92924,0.91031,0.93949,0.51024,1.47556,0.72755,0.97492,0.0011948,0.0011948,0.0011948
63,2021.95,1.6296,0.90689,1.01723,0.91799,0.90358,0.93368,0.46828,1.53639,0.80099,0.99514,0.0011816,0.0011816,0.0011816
64,2054.01,1.6644,0.89918,1.0244,0.91489,0.90135,0.93465,0.48564,1.50382,0.75233,0.98981,0.0011684,0.0011684,0.0011684
65,2086.05,1.63993,0.8883,1.01221,0.92679,0.90823,0.93685,0.50242,1.4627,0.7486,0.98711,0.0011552,0.0011552,0.0011552
66,2118.07,1.67196,0.90092,1.0217,0.919,0.92825,0.94792,0.50869,1.47643,0.71686,0.98402,0.001142,0.001142,0.001142
67,2150.1,1.65699,0.88272,1.02061,0.92069,0.91928,0.94767,0.50405,1.4545,0.71506,0.9778,0.0011288,0.0011288,0.0011288
68,2182.12,1.63594,0.87354,1.0222,0.91999,0.92825,0.94955,0.50499,1.49245,0.72535,0.98726,0.0011156,0.0011156,0.0011156
69,2214.2,1.62995,0.86136,1.01437,0.9216,0.91031,0.94043,0.50518,1.48313,0.72616,0.98005,0.0011024,0.0011024,0.0011024
70,2246.22,1.60001,0.86547,1.01429,0.92999,0.89358,0.93411,0.50107,1.51772,0.73667,0.98638,0.0010892,0.0010892,0.0010892
71,2278.23,1.62555,0.85015,1.00608,0.90056,0.89347,0.93216,0.50087,1.49384,0.70198,0.99059,0.001076,0.001076,0.001076
72,2310.25,1.64267,0.87002,1.02681,0.89112,0.90135,0.92836,0.49029,1.51795,0.72753,0.99768,0.0010628,0.0010628,0.0010628
73,2342.28,1.61194,0.8629,1.02014,0.92642,0.90334,0.93193,0.51452,1.48582,0.69716,0.98245,0.0010496,0.0010496,0.0010496
74,2374.37,1.61606,0.84365,1.00515,0.94564,0.91928,0.93946,0.50862,1.48568,0.69658,0.98442,0.0010364,0.0010364,0.0010364
75,2406.44,1.64702,0.86261,1.01516,0.90331,0.90583,0.93539,0.50715,1.50481,0.71582,0.99504,0.0010232,0.0010232,0.0010232
76,2438.56,1.60744,0.83313,1.00749,0.92082,0.89686,0.94335,0.52079,1.46648,0.68907,0.97562,0.00101,0.00101,0.00101
77,2470.7,1.62011,0.85962,1.02115,0.92686,0.90135,0.94897,0.52971,1.46439,0.66411,0.9825,0.0009968,0.0009968,0.0009968
78,2502.8,1.59462,0.83733,1.01786,0.90718,0.92037,0.9419,0.50773,1.48375,0.68946,0.98186,0.0009836,0.0009836,0.0009836
79,2534.85,1.60142,0.85003,1.01234,0.91749,0.89757,0.94418,0.51325,1.46034,0.69399,0.99177,0.0009704,0.0009704,0.0009704
80,2566.93,1.59444,0.84247,0.99503,0.90582,0.91928,0.9382,0.49858,1.50227,0.67159,0.99495,0.0009572,0.0009572,0.0009572
81,2599.05,1.58932,0.84208,1.01604,0.91335,0.89804,0.93783,0.50848,1.46907,0.69458,0.98267,0.000944,0.000944,0.000944
82,2631.16,1.5722,0.82055,0.99687,0.9251,0.89686,0.93197,0.49563,1.48383,0.68933,0.9909,0.0009308,0.0009308,0.0009308
83,2663.23,1.5926,0.81937,1.01358,0.91752,0.89793,0.94006,0.49152,1.49539,0.69602,0.97904,0.0009176,0.0009176,0.0009176
84,2695.3,1.58818,0.84036,1.00039,0.91159,0.92477,0.9507,0.51916,1.43797,0.68213,0.97639,0.0009044,0.0009044,0.0009044
85,2727.38,1.59936,0.80554,1.00618,0.92385,0.92491,0.94756,0.51379,1.50648,0.67997,0.99005,0.0008912,0.0008912,0.0008912
86,2759.45,1.58914,0.83082,1.00115,0.91139,0.92242,0.95001,0.52258,1.47706,0.68695,0.99604,0.000878,0.000878,0.000878
87,2791.47,1.57506,0.81035,0.99854,0.92226,0.90438,0.93985,0.50776,1.46503,0.67426,0.98471,0.0008648,0.0008648,0.0008648
88,2823.58,1.57184,0.80899,0.99538,0.93553,0.91098,0.94228,0.51603,1.45656,0.67533,0.97781,0.0008516,0.0008516,0.0008516
89,2855.62,1.57856,0.81507,1.00063,0.91838,0.89686,0.93552,0.51638,1.47081,0.67913,0.97835,0.0008384,0.0008384,0.0008384
90,2887.69,1.55704,0.78406,1.00321,0.90078,0.93637,0.95143,0.51752,1.49154,0.66051,0.99745,0.0008252,0.0008252,0.0008252
91,2919.71,1.55867,0.80202,0.99377,0.91808,0.91031,0.9412,0.52776,1.43185,0.64837,0.96618,0.000812,0.000812,0.000812
92,2951.84,1.55872,0.78015,0.99777,0.91076,0.91536,0.94312,0.50921,1.46972,0.65412,0.97613,0.0007988,0.0007988,0.0007988
93,2983.86,1.57761,0.80065,1.00096,0.91954,0.91031,0.94078,0.50661,1.48277,0.68404,0.98613,0.0007856,0.0007856,0.0007856
94,3015.92,1.57398,0.80397,0.98862,0.90995,0.9148,0.93863,0.50341,1.47288,0.67761,0.97604,0.0007724,0.0007724,0.0007724
95,3048.03,1.55789,0.78795,1.00251,0.92311,0.92377,0.95429,0.48859,1.53348,0.6843,1.00504,0.0007592,0.0007592,0.0007592
96,3080.09,1.53941,0.77565,0.99473,0.92801,0.92493,0.94577,0.51861,1.4726,0.66936,0.98754,0.000746,0.000746,0.000746
97,3112.11,1.57811,0.78837,1.00758,0.92191,0.92377,0.94716,0.52783,1.45497,0.65495,0.97117,0.0007328,0.0007328,0.0007328
98,3144.14,1.55292,0.78388,0.99856,0.89589,0.91031,0.93665,0.50557,1.46387,0.66997,0.97709,0.0007196,0.0007196,0.0007196
99,3176.21,1.51443,0.77036,0.98614,0.8963,0.91928,0.94014,0.50514,1.47283,0.6632,0.99327,0.0007064,0.0007064,0.0007064
100,3208.29,1.55304,0.77776,0.99346,0.91167,0.92569,0.94139,0.51785,1.44916,0.6553,0.98206,0.0006932,0.0006932,0.0006932
101,3240.39,1.55692,0.79877,0.98855,0.91599,0.92377,0.94649,0.50754,1.46661,0.67251,0.98009,0.00068,0.00068,0.00068
102,3272.48,1.55394,0.77895,0.99128,0.93994,0.91242,0.94845,0.51272,1.46194,0.66382,0.97264,0.0006668,0.0006668,0.0006668
103,3304.56,1.53259,0.75412,0.99036,0.9359,0.9166,0.94498,0.52251,1.43572,0.65868,0.96387,0.0006536,0.0006536,0.0006536
104,3336.68,1.52781,0.74299,0.98292,0.92521,0.91031,0.9414,0.50856,1.46345,0.65223,0.98125,0.0006404,0.0006404,0.0006404
105,3368.8,1.51671,0.74539,0.98794,0.92356,0.92377,0.94751,0.52484,1.44208,0.63785,0.9711,0.0006272,0.0006272,0.0006272
106,3400.93,1.52894,0.75002,0.99216,0.92752,0.91821,0.95027,0.52808,1.45061,0.64444,0.97359,0.000614,0.000614,0.000614
107,3432.96,1.53409,0.76546,0.98702,0.93009,0.90583,0.94463,0.50783,1.46177,0.64707,0.97257,0.0006008,0.0006008,0.0006008
108,3465.02,1.52012,0.77005,0.97953,0.92839,0.90583,0.94727,0.5168,1.46754,0.66152,0.98952,0.0005876,0.0005876,0.0005876
109,3497.08,1.51355,0.76157,0.98285,0.94024,0.91714,0.95291,0.54023,1.4234,0.62621,0.97535,0.0005744,0.0005744,0.0005744
110,3529.25,1.51067,0.76294,0.97455,0.92053,0.92377,0.95125,0.52743,1.43681,0.63563,0.978,0.0005612,0.0005612,0.0005612
111,3561.33,1.49498,0.75879,0.97544,0.92574,0.91031,0.94345,0.51091,1.46493,0.65161,0.99498,0.000548,0.000548,0.000548
112,3593.45,1.5004,0.75252,0.98204,0.91181,0.89686,0.93014,0.50299,1.48217,0.66468,0.98411,0.0005348,0.0005348,0.0005348
113,3625.52,1.49235,0.75901,0.96976,0.92075,0.9148,0.93822,0.5142,1.44514,0.66022,0.97374,0.0005216,0.0005216,0.0005216
114,3657.6,1.48734,0.72201,0.96892,0.93509,0.90447,0.94244,0.52651,1.43269,0.63294,0.97402,0.0005084,0.0005084,0.0005084
115,3689.65,1.47456,0.71816,0.97269,0.92804,0.92535,0.94637,0.51796,1.47512,0.64305,0.98658,0.0004952,0.0004952,0.0004952
116,3721.74,1.47916,0.72688,0.98439,0.93483,0.93274,0.95023,0.51319,1.46873,0.63962,0.98129,0.000482,0.000482,0.000482
117,3753.8,1.49754,0.73731,0.96483,0.93391,0.9148,0.94273,0.53576,1.44238,0.6241,0.97285,0.0004688,0.0004688,0.0004688
118,3785.9,1.47447,0.7248,0.97185,0.94025,0.91735,0.9531,0.52921,1.42822,0.62816,0.96346,0.0004556,0.0004556,0.0004556
119,3817.95,1.47334,0.73249,0.96089,0.94424,0.91127,0.95752,0.52599,1.45773,0.65167,0.97691,0.0004424,0.0004424,0.0004424
120,3850.04,1.47843,0.73115,0.96997,0.91947,0.92157,0.94857,0.51516,1.45793,0.64464,0.98844,0.0004292,0.0004292,0.0004292
121,3882.11,1.48919,0.72467,0.97489,0.92204,0.91031,0.94459,0.51114,1.47184,0.64807,0.98248,0.000416,0.000416,0.000416
122,3914.17,1.48859,0.70372,0.96211,0.93532,0.92377,0.95486,0.52737,1.44285,0.62694,0.97638,0.0004028,0.0004028,0.0004028
123,3946.22,1.45977,0.70058,0.96873,0.9442,0.91051,0.9531,0.52579,1.45525,0.62653,0.98382,0.0003896,0.0003896,0.0003896
124,3978.29,1.4736,0.71216,0.97379,0.9227,0.9148,0.951,0.51764,1.48533,0.63433,0.98332,0.0003764,0.0003764,0.0003764
125,4010.35,1.46227,0.70921,0.96721,0.93624,0.92181,0.94963,0.52476,1.47569,0.63074,0.98717,0.0003632,0.0003632,0.0003632
126,4042.44,1.45876,0.68688,0.97281,0.92748,0.9176,0.94302,0.52348,1.44765,0.62253,0.98453,0.00035,0.00035,0.00035
127,4074.5,1.476,0.70024,0.9647,0.92505,0.9148,0.93935,0.51335,1.49697,0.63144,0.98952,0.0003368,0.0003368,0.0003368
