epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1062,2.12056,4.58906,1.23192,0.75551,0.70438,0.60468,0.22497,1.94687,1.28932,1.18034,0.00065942,0.00065942,0.00065942
2,77.2011,2.0188,1.41022,1.22784,0.57906,0.54623,0.60239,0.24791,1.94498,1.30883,1.17745,0.00131733,0.00131733,0.00131733
3,114.934,2.01437,1.28754,1.24275,0.51786,0.24265,0.30018,0.11526,2.72564,2.35851,1.53156,0.00196645,0.00196645,0.00196645
4,151.884,1.96679,1.2928,1.21201,0.6167,0.28395,0.32676,0.10645,2.32387,2.07334,1.44752,0.0019604,0.0019604,0.0019604
5,189.396,1.96031,1.23334,1.21961,0.82608,0.69851,0.74108,0.33049,1.63954,1.04427,1.04049,0.0019472,0.0019472,0.0019472
6,226.348,1.87656,1.25065,1.19487,0.10667,0.67163,0.0918,0.04462,1.57273,50.3573,1.06653,0.001934,0.001934,0.001934
7,264.962,1.88551,1.17867,1.18095,0.809,0.77858,0.82359,0.33774,1.71266,0.95363,1.07367,0.0019208,0.0019208,0.0019208
8,306.273,1.87659,1.1509,1.17347,0.86077,0.52941,0.67862,0.31596,1.80909,1.1067,1.10076,0.0019076,0.0019076,0.0019076
9,346.998,1.83146,1.0981,1.14867,0.81127,0.76471,0.77834,0.34995,1.58397,0.90625,1.04143,0.0018944,0.0018944,0.0018944
10,388.122,1.79461,1.11583,1.12207,0.85644,0.56618,0.72593,0.32185,1.73284,1.13602,1.12139,0.0018812,0.0018812,0.0018812
11,429.311,1.77296,1.11941,1.14081,0.86721,0.76832,0.82674,0.37586,1.56061,0.94983,1.02138,0.001868,0.001868,0.001868
12,470.17,1.72137,1.05301,1.12438,0.88955,0.76471,0.83493,0.38231,1.52055,1.04629,1.02967,0.0018548,0.0018548,0.0018548
13,511.133,1.79217,1.07607,1.13101,0.79697,0.75042,0.77671,0.35411,1.79273,1.13817,1.07679,0.0018416,0.0018416,0.0018416
14,552.15,1.76518,1.05123,1.11514,0.89259,0.82353,0.86289,0.40041,1.48211,0.91783,1.00287,0.0018284,0.0018284,0.0018284
15,593.016,1.70509,1.08023,1.11993,0.91507,0.79412,0.87753,0.42806,1.51851,0.83438,0.98632,0.0018152,0.0018152,0.0018152
16,633.882,1.71219,1.09122,1.10737,0.9067,0.80147,0.86421,0.4041,1.4814,0.87859,0.9801,0.001802,0.001802,0.001802
17,674.73,1.66844,1.05481,1.08801,0.8169,0.72174,0.8119,0.33338,1.53999,0.98411,1.01521,0.0017888,0.0017888,0.0017888
18,715.59,1.73323,1.06579,1.10892,0.87859,0.81618,0.83638,0.36297,1.55495,0.94832,1.02368,0.0017756,0.0017756,0.0017756
19,756.111,1.70177,1.05641,1.09517,0.86911,0.82353,0.82332,0.3829,1.54077,0.87286,1.03238,0.0017624,0.0017624,0.0017624
20,797.067,1.6347,1.02059,1.09249,0.91342,0.77206,0.83518,0.37988,1.64303,0.90575,1.05382,0.0017492,0.0017492,0.0017492
21,837.763,1.64936,1.00464,1.09921,0.81251,0.77206,0.82306,0.38082,1.62002,0.94798,1.06242,0.001736,0.001736,0.001736
